,violated,pathLength,sumCap,RVTCount,HVTCount,LVTCount,arrivalTime,GBASlack,PBASlack
0,False,10,28.8894920349,12,10,4,-1.7600188255,0.8300000429,0.8300001025
1,False,44,132.6224936248,70,10,4,-2.3400187492,0.2899999619,0.2900000215
2,True,26,83.22591865070001,2,32,12,-2.7536256313,-0.0765211284,-0.0737370849
3,True,48,86.39146542549999,0,114,0,-5.2700209618,-0.2300006449,-0.2300002873
4,True,26,58.7123074531,0,42,0,-2.4160122871,-0.1999998689,-0.1999998689
5,False,10,11.0594944954,10,8,4,-1.2200192213,1.3499999046,1.3499999046
6,False,12,257.6259338856,24,6,12,-1.1900203228,1.4099999666,1.4100000858
7,False,12,11.3806290627,4,10,6,-1.4500200748,1.0799999237,1.0799999237
8,False,18,19.4093378781,2,22,2,-1.6100180149,0.9199999571,0.9199998975
9,False,52,86.4840434793,68,10,14,-2.5400211811,1.341e-07,3.129e-07
10,True,36,77.9513976574,28,10,2,-2.590020895,-0.0500001237,-0.0500001237
11,False,8,3.3675551414,34,0,16,-0.8700203896,1.6000000238,1.6000000238
12,False,80,147.50427258029998,0,108,0,-6.6900205612,2.0200002193,2.0200002193
13,False,24,46.7344989777,12,20,10,-2.2000193596,0.3199999332,0.3199998736
14,False,20,30.8734449148,2,26,6,-2.1300201416,0.4599997699,0.4599998295
15,True,92,117.9537508489,56,132,0,-5.9300169945,-0.0299972892,-0.0299981236
16,False,48,86.39146542549999,0,114,0,-5.2700209618,3.7699992657,3.7699997425
17,False,22,39.8515043259,10,24,4,-2.3300197124,0.4099997878,0.4099997878
18,False,24,179.56312990179998,34,14,6,-1.7600181103,0.8500000238,0.8499999642
